p:(0.265583,0.439811),h:1,n:45,cr:0.0399334;
p:(0.235047,0.613683),h:1,n:56,cr:0.0529122;
p:(0.246071,0.576721),h:1,n:36,cr:0.0344934;
p:(0.283063,0.597793),h:1,n:38,cr:0.0737803;
p:(0.210692,0.606542),h:1,n:48,cr:0.0483076;
p:(0.205714,0.522629),h:1,n:50,cr:0.0372321;
p:(0.185365,0.553925),h:1,n:36,cr:0.026318;
p:(0.0994544,0.621065),h:1,n:43,cr:0.0539664;
p:(0.144482,0.637054),h:1,n:68,cr:0.0527429;
p:(0.119111,0.589637),h:1,n:43,cr:0.0337902;
p:(0.144468,0.564252),h:1,n:43,cr:0.0333449;
p:(0.157139,0.503461),h:1,n:37,cr:0.0327473;
p:(0.133314,0.533348),h:1,n:40,cr:0.0301102;
p:(0.149199,0.559335),h:1,n:42,cr:0.0582166;
p:(0.141603,0.606969),h:1,n:61,cr:0.0407183;
p:(0.197162,0.575203),h:1,n:53,cr:0.0424902;
p:(0.112648,0.48981),h:1,n:44,cr:0.0446436;
p:(0.0924937,0.463442),h:1,n:44,cr:0.0530458;
p:(0.0732357,0.514382),h:1,n:40,cr:0.0545801;
p:(0.0608362,0.523216),h:1,n:39,cr:0.030611;
p:(0.0633928,0.567817),h:1,n:37,cr:0.0314936;
p:(0.0625016,0.581415),h:1,n:37,cr:0.0342545;
p:(0.331846,0.402379),h:1,n:62,cr:0.0586849;
p:(0.0558922,0.494718),h:1,n:38,cr:0.0533491;
p:(0.0525293,0.521563),h:1,n:36,cr:0.0467348;
p:(0.0110069,0.522075),h:1,n:48,cr:0.0324376;
p:(0.0356664,0.523548),h:1,n:37,cr:0.0420229;
p:(0.200352,0.401188),h:1,n:72,cr:0.0486095;
p:(0.156679,0.400944),h:1,n:43,cr:0.0389246;
p:(0.267134,0.43474),h:1,n:64,cr:0.0350018;
p:(0.327184,0.464505),h:1,n:68,cr:0.0456362;
p:(0.364784,0.513401),h:1,n:61,cr:0.0480422;
p:(0.315658,0.434009),h:1,n:73,cr:0.0390494;
p:(0.338929,0.442278),h:1,n:38,cr:0.0362357;
p:(0.372034,0.444682),h:1,n:38,cr:0.0257264;
p:(0.368455,0.400148),h:1,n:37,cr:0.0495053;
p:(0.340321,0.507617),h:1,n:51,cr:0.0354151;
p:(0.307366,0.498153),h:1,n:44,cr:0.031817;
p:(0.359095,0.552485),h:1,n:58,cr:0.0451162;
p:(0.333569,0.536742),h:1,n:59,cr:0.0669196;
p:(0.30258,0.586537),h:1,n:50,cr:0.0318247;
p:(0.277775,0.55397),h:1,n:47,cr:0.0497479;
p:(0.374975,0.558198),h:1,n:58,cr:0.0466459;
p:(0.610399,0.392399),h:1,n:40,cr:0.0378631;
